,Date,Customer Type,Delivery Type,Device Type,Revenue,before vs book,book vs select,select vs order,before vs order
94,2017-09-12,New,Home Delivery,Desktop ,304225.0,-0.025208241999123193,-0.15965819653699123,-0.07010971367407011,-0.23827268741779922
95,2017-09-12,New,Home Delivery,Mobile ,18163.0,-0.12165450121654502,-0.21052631578947367,-0.08771929824561403,-0.36739659367396593
96,2017-09-13,Existing,Home Delivery,Mobile ,1652184.0,-0.031190192934360938,-0.0776828617191671,-0.015918958031837915,-0.12067449438783427
97,2017-09-13,New,Home Delivery,Desktop ,290951.0,-0.07971498552660877,-0.13718848294217276,-0.007291082445316881,-0.21175684702738812
98,2017-09-13,Existing,Store Collection,Desktop ,362014.0,-0.1218195836545875,-0.06453028972783142,-0.008916001877053027,-0.18581341557440248
99,2017-09-13,Existing,Store Collection,Mobile ,354459.0,-0.061249241964827165,-0.0714900947459087,-0.03432282003710575,-0.15827774408732564
100,2017-09-13,Existing,Home Delivery,Desktop ,1719307.0,-0.0390222778232209,-0.050821149609453234,-0.037980693147649944,-0.12250396959053073
101,2017-09-13,New,Home Delivery,Mobile ,18044.0,-0.11224489795918367,-0.21839080459770116,-0.058823529411764705,-0.3469387755102041
102,2017-09-13,New,Store Collection,Mobile ,2994.0,-0.13333333333333333,-0.07692307692307693,-0.0625,-0.25
103,2017-09-13,New,Store Collection,Desktop ,35836.0,-0.006109979633401222,-0.0778688524590164,-0.08222222222222222,-0.15885947046843177
104,2017-09-14,Existing,Store Collection,Desktop ,372953.0,-0.06464896026353717,-0.05348888399735857,-0.009069767441860464,-0.12270949145563105
105,2017-09-14,Existing,Home Delivery,Mobile ,1636097.0,-0.03253106349672243,-0.10588056833695707,-0.013515806141491829,-0.14665883964387047
106,2017-09-14,New,Store Collection,Mobile ,2967.0,-0.1694915254237288,-0.02040816326530612,-0.020833333333333332,-0.2033898305084746
107,2017-09-14,New,Store Collection,Desktop ,33934.0,-0.03441295546558704,-0.06079664570230608,-0.022321428571428572,-0.11336032388663968
108,2017-09-14,New,Home Delivery,Desktop ,291319.0,-0.04168585905112851,-0.09853400624849795,-0.037589976006398296,-0.1685859051128512
109,2017-09-14,Existing,Home Delivery,Desktop ,1743548.0,-0.052364949591212316,-0.01873709839623141,-0.046065052052430014,-0.1129558108040327
110,2017-09-14,Existing,Store Collection,Mobile ,362969.0,-0.048627925746569815,-0.07529162248144221,-0.06995412844036697,-0.1817998385794996
111,2017-09-14,New,Home Delivery,Mobile ,17637.0,-0.08831168831168831,-0.18803418803418803,-0.10175438596491228,-0.33506493506493507
112,2017-09-15,Existing,Home Delivery,Mobile ,1617451.0,-0.060626903802692346,-0.07677824267782427,-0.02294357579877634,-0.1526481281320625
113,2017-09-15,Existing,Store Collection,Mobile ,349933.0,-0.0859253499222395,-0.09059974478945129,-0.018007483629560336,-0.18370917573872472
114,2017-09-15,New,Store Collection,Desktop ,34518.0,-0.05973025048169557,-0.13114754098360656,-0.01650943396226415,-0.19653179190751446
115,2017-09-15,Existing,Home Delivery,Desktop ,1751864.0,-0.03128917172885932,-0.08122231622953267,-0.03228427495801961,-0.13870407868093723
116,2017-09-15,New,Home Delivery,Mobile ,18107.0,-0.16707616707616707,-0.1710914454277286,-0.042704626334519574,-0.33906633906633904
117,2017-09-15,New,Store Collection,Mobile ,3086.0,-0.14516129032258066,-0.05660377358490566,-0.06,-0.24193548387096775
118,2017-09-15,New,Home Delivery,Desktop ,308599.0,-0.0803293279928794,-0.07234454391483185,-0.061815336463223784,-0.19959946595460615
119,2017-09-15,Existing,Store Collection,Desktop ,383745.0,-0.02478134110787172,-0.034806747811232115,-0.07278761061946902,-0.12723865056226571
120,2017-09-16,New,Home Delivery,Desktop ,303433.0,-0.06256836578429227,-0.16826137689614937,-0.10465768799102132,-0.301903303434697
121,2017-09-16,Existing,Home Delivery,Mobile ,1612672.0,-0.055295084344337574,-0.0860066513174725,-0.010467980295566502,-0.14558461017932234
122,2017-09-16,New,Store Collection,Desktop ,34103.0,-0.056910569105691054,-0.08836206896551724,-0.02127659574468085,-0.15853658536585366
123,2017-09-16,Existing,Store Collection,Desktop ,373574.0,-0.08621037754896023,-0.03049049933716306,-0.02780309936189608,-0.1387038158691702
124,2017-09-16,Existing,Home Delivery,Desktop ,1754791.0,-0.019226846185230517,-0.005927928864853622,-0.05832505100172621,-0.08190534475724194
125,2017-09-16,New,Home Delivery,Mobile ,17920.0,-0.12128712871287128,-0.21971830985915494,-0.06498194945848375,-0.3589108910891089
126,2017-09-16,Existing,Store Collection,Mobile ,345381.0,-0.0917941585535466,-0.05206738131699847,-0.08354488806831295,-0.21100735148023048
127,2017-09-16,New,Store Collection,Mobile ,2960.0,-0.13559322033898305,-0.0196078431372549,-0.1,-0.23728813559322035
128,2017-09-17,Existing,Store Collection,Desktop ,379234.0,-0.031564133494169686,-0.11812331326551796,-0.013888888888888888,-0.1578206674708484
129,2017-09-17,Existing,Home Delivery,Desktop ,1636065.0,-0.017205919237521947,-0.0726827276439363,-0.010402906208718626,-0.0981188863807374
130,2017-09-17,New,Home Delivery,Desktop ,303105.0,-0.04387938793879388,-0.12732407625323605,-0.02696871628910464,-0.18811881188118812
131,2017-09-17,Existing,Store Collection,Mobile ,353845.0,-0.08488654781199352,-0.04294885986274076,-0.029377746934998842,-0.14991896272285252
132,2017-09-17,Existing,Home Delivery,Mobile ,1585956.0,-0.04656768222136522,-0.06375771058752149,-0.041691418696333096,-0.14457192441187813
133,2017-09-17,New,Store Collection,Desktop ,35954.0,-0.018145161290322582,-0.06776180698151951,-0.07488986784140969,-0.1532258064516129
134,2017-09-17,New,Store Collection,Mobile ,3027.0,-0.14754098360655737,-0.057692307692307696,-0.08163265306122448,-0.26229508196721313
135,2017-09-17,New,Home Delivery,Mobile ,18641.0,-0.1580246913580247,-0.1495601173020528,-0.11379310344827587,-0.3654320987654321
136,2017-09-18,Existing,Store Collection,Desktop ,367856.0,-0.07558257345491388,-0.06422621657167908,-0.02600140548137737,-0.1574468085106383
137,2017-09-18,Existing,Home Delivery,Mobile ,1601516.0,-0.027978799306900417,-0.09023226550621297,-0.008644536652835409,-0.12333095505045358
